Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Density293K
0,0,68.74915625,0,0,31.25084375,0,0,0,0,0,0,0,0,0,0,0,2.49
0,0,66.67016665,0,0,33.32983335,0,0,0,0,0,0,0,0,0,0,0,2.49
0,0,64.29064291,0,0,35.70935709,0,0,0,0,0,0,0,0,0,0,0,2.53
0,0,61.5401923,0,0,38.4598077,0,0,0,0,0,0,0,0,0,0,0,2.48
0,0,0,0,0,35.0003625,0,55.0003625,0,0,0,0,9.999274995,0,0,0,0,2.78
0,0,60.00060001,0,0,39.99939999,0,0,0,0,0,0,0,0,0,0,0,2.75
0,0,59.10059101,0,0,40.89940899,0,0,0,0,0,0,0,0,0,0,0,2.535
0,0,0,0,0,41.66979165,0,58.33020835,0,0,0,0,0,0,0,0,0,2.5
0,0,58.33020835,0,0,41.66979165,0,0,0,0,0,0,0,0,0,0,0,2.515
0,0,56.10056101,0,0,43.89943899,0,0,0,0,0,0,0,0,0,0,0,2.55
0,0,0,0,0,40,0,50.00072501,0,0,0,0,9.999274995,0,0,0,0,2.7
0,0,54.97797903,0,5.00279139,40.01922958,0,0,0,0,0,0,0,0,0,0,0,2.57
0,0,54.91015267,0,5.010328172,40.07951916,0,0,0,0,0,0,0,0,0,0,0,2.54
0,0,0,0,0,45.44977275,0,54.55022725,0,0,0,0,0,0,0,0,0,2.47
0,0,54.55022725,0,0,45.44977275,0,0,0,0,0,0,0,0,0,0,0,2.56
0,0,10.58346762,0,12.47143991,76.94509247,0,0,0,0,0,0,0,0,0,0,0,2.33
0,0,0,0,0,27.27927279,0,52.20052201,0,20.5202052,0,0,0,0,0,0,0,2.57
0,0,51.2802436,0,0,48.7197564,0,0,0,0,0,0,0,0,0,0,0,2.575
0,0,50.7800078,0,0,49.200492,0,0.019500195,0,0,0,0,0,0,0,0,0,2.602
0,0,0,0,0,39.58480208,0,50.49424753,0,9.920950395,0,0,0,0,0,0,0,2.523
0,0,37.54022167,0,0,37.47971728,0,0,24.98006105,0,0,0,0,0,0,0,0,2.742
0,0,50.0202499,0,0,49.9797501,0,0,0,0,0,0,0,0,0,0,0,2.641
0,0,0,0,0,0,0,49.99925,0,50.00075,0,0,0,0,0,0,0,2.69
0,0,0,0,0,50.00075,0,49.99925,0,0,0,0,0,0,0,0,0,2.48
0,0,49.99925,0,0,50.00075,0,0,0,0,0,0,0,0,0,0,0,2.561
0,0,20,0,0,46.00029099,0,24.99927252,0,0,0,9.000436491,0,0,0,0,0,2.653
0,0,49.18925405,0,0,50.81074595,0,0,0,0,0,0,0,0,0,0,0,2.56
0,0,49.000255,0,0,50.999745,0,0,0,0,0,0,0,0,0,0,0,2.567
0,0,43.47920371,0,0,45.66075378,0,0,10.8600425,0,0,0,0,0,0,0,0,2.64
0,0,48.70925645,0,0,51.29074355,0,0,0,0,0,0,0,0,0,0,0,2.564
0,0,43.71580735,0,0,46.51507016,0,0,9.769122491,0,0,0,0,0,0,0,0,2.63
0,0,48.4204842,0,0,51.5795158,0,0,0,0,0,0,0,0,0,0,0,2.563
0,0,48.0792596,0,0,51.9207404,0,0,0,0,0,0,0,0,0,0,0,2.556
0,0,48.00048,0,0,51.99952,0,0,0,0,0,0,0,0,0,0,0,2.57
0,0,47.6202619,0,0,52.3797381,0,0,0,0,0,0,0,0,0,0,0,2.56
0,0,47.6104761,0,0,52.3895239,0,0,0,0,0,0,0,0,0,0,0,2.567
0,0,47.50125814,0,2.499504369,49.99923749,0,0,0,0,0,0,0,0,0,0,0,2.57
0,0,47.5002625,0,0,52.4997375,0,0,0,0,0,0,0,0,0,0,0,2.51
0,0,0,0,0,50,0,44.999705,0,0,0,0,5.000295003,0,0,0,0,2.635
0,0,37.49929976,19.90084589,0,42.59985435,0,0,0,0,0,0,0,0,0,0,0,2.529
0,0,38.83628827,0,0,45.0665039,0,0,16.09720783,0,0,0,0,0,0,0,0,2.714
0,0,46.59970261,0,1.729736291,51.6705611,0,0,0,0,0,0,0,0,0,0,0,2.56
0,0,46.63026685,0,0,53.36973315,0,0,0,0,0,0,0,0,0,0,0,2.5575
