Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Tliquidus
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1164.15
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.15
0,0,96.00096001,0,0,3.99903999,0,0,0,0,0,0,0,0,0,0,0,1307.15
0,0,91.99004005,0,0,8.00995995,0,0,0,0,0,0,0,0,0,0,0,1244.15
0,0,89.9800501,0,0,10.0199499,0,0,0,0,0,0,0,0,0,0,0,1246.15
0,0,87.1600642,0,0,12.8399358,0,0,0,0,0,0,0,0,0,0,0,1169.15
0,0,83.53008235,0,0,16.46991765,0,0,0,0,0,0,0,0,0,0,0,1165.15
0,0,81.97009015,0,0,18.02990985,0,0,0,0,0,0,0,0,0,0,0,1184.15
0,0,79.98079981,0,0,20.01920019,0,0,0,0,0,0,0,0,0,0,0,1159.15
0,0,75.9791201,0,0,24.0208799,0,0,0,0,0,0,0,0,0,0,0,1201.15
0,0,73.50073501,0,0,26.49926499,0,0,0,0,0,0,0,0,0,0,0,1230.15
0,0,71.9801401,0,0,28.0198599,0,0,0,0,0,0,0,0,0,0,0,1264.15
0,0,69.9791501,0,0,30.0208499,0,0,0,0,0,0,0,0,0,0,0,1324.15
0,0,67.95067951,0,0,32.04932049,0,0,0,0,0,0,0,0,0,0,0,1314.15
0,0,67.000165,0,0,32.999835,0,0,0,0,0,0,0,0,0,0,0,1253.15
0,0,66.93066931,0,0,33.06933069,0,0,0,0,0,0,0,0,0,0,0,1300.15
0,0,66.60066601,0,0,33.39933399,0,0,0,0,0,0,0,0,0,0,0,1258.15
0,0,0,0,0,33.5008325,0,66.4991675,0,0,0,0,0,0,0,0,0,1135.15
0,0,66.1001695,0,0,33.8998305,0,0,0,0,0,0,0,0,0,0,0,1269.15
0,0,0,0,0,33.99933999,0,66.00066001,0,0,0,0,0,0,0,0,0,1120.15
0,0,65.40065401,0,0,34.59934599,0,0,0,0,0,0,0,0,0,0,0,1285.15
0,0,0,0,0,35.000825,0,64.999175,0,0,0,0,0,0,0,0,0,1131.15
0,0,64.999175,0,0,35.000825,0,0,0,0,0,0,0,0,0,0,0,1292.15
0,0,83.98951564,0,0,0,16.01048436,0,0,0,0,0,0,0,0,0,0,1268.15
