Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,YoungModulus
0,0,45.00045,0,0,54.99955,0,0,0,0,0,0,0,0,0,0,0,69.9
0,0,37.50017969,12.50053906,0,49.99928125,0,0,0,0,0,0,0,0,0,0,0,65.8
0,0,42.71058064,0,5.210386627,52.07903273,0,0,0,0,0,0,0,0,0,0,0,57.4
0,0,36.27054269,0,0,41.58936528,2.860273172,0,19.27981886,0,0,0,0,0,0,0,0,51
0,0,19.0005947,0,29.999374,4.0001252,0,0,46.9999061,0,0,0,0,0,0,0,0,89.6
0,0,41.90057995,0,15.70008285,42.3993372,0,0,0,0,0,0,0,0,0,0,0,69.8
0,0,42.20006384,0,0,55.79960176,0,0,0,0,2.000334402,0,0,0,0,0,0,61.4
0,0,41.29968278,0,5.500093301,53.20022392,0,0,0,0,0,0,0,0,0,0,0,64.2
0,0,16.000682,0,30.00031,3.999007998,0,0,50,0,0,0,0,0,0,0,0,97.2
0,0,41.000682,0,0,53.999008,0,0,0,0,5.000310001,0,0,0,0,0,0,62.7
0,0,33.3295556,0,0,49.99929167,0,0,16.67115273,0,0,0,0,0,0,0,0,74.1
0,0,0,0,0,59.9997,0,40.0003,0,0,0,0,0,0,0,0,0,36.3
0,0,10.00045,0,0,59.9997,0,29.99985,0,0,0,0,0,0,0,0,0,47.8
0,0,19.9997,0,0,60.00060001,0,19.9997,0,0,0,0,0,0,0,0,0,55.5
0,0,29.99985,0,0,59.9997,0,10.00045,0,0,0,0,0,0,0,0,0,58.2
0,0,40.0003,0,0,59.9997,0,0,0,0,0,0,0,0,0,0,0,59.8
0,0,38.8,0,0,51.2,0,0,0,0,10,0,0,0,0,0,0,59.7
0,0,38.88681476,0,5.559703814,55.55348143,0,0,0,0,0,0,0,0,0,0,0,58.5
0,0,39.26074825,0,0,60.73925175,0,0,0,0,0,0,0,0,0,0,0,30.1
0,0,39.25957038,0,0,60.74042962,0,0,0,0,0,0,0,0,0,0,0,29.6
0,0,39.25725861,0,0,60.74274139,0,0,0,0,0,0,0,0,0,0,0,30.8
0,0,39.25410303,0,0,60.74589697,0,0,0,0,0,0,0,0,0,0,0,30.3
0,0,39.25521216,0,0,60.74478784,0,0,0,0,0,0,0,0,0,0,0,31.5
0,0,11.9998776,0,30.000459,3.999449196,0,0,54.0002142,0,0,0,0,0,0,0,0,105
0,0,39.00039,0,0,60.99961,0,0,0,0,0,0,0,0,0,0,0,58.9
0,0,38.35068181,0,8.189641535,53.45967665,0,0,0,0,0,0,0,0,0,0,0,70.3
0,0,13.85123071,0,0,32.41352985,0,0,14.4508884,0,0,16.20183961,23.08251142,0,0,0,0,53.6
0,0,37.09990846,0,10.59951499,52.30057655,0,0,0,0,0,0,0,0,0,0,0,66.8
0,0,31.41218638,0,0,55.08243728,0,0,13.50537634,0,0,0,0,0,0,0,0,63
0,0,31.42136056,0,0,55.0705518,0,0,13.50808764,0,0,0,0,0,0,0,0,63.9
0,0,35.99986728,0,15.89966489,48.10046783,0,0,0,0,0,0,0,0,0,0,0,69.6
0,0,37.0998632,0,0,60.8998328,0,0,0,0,2.000303998,0,0,0,0,0,0,62.9
0,0,0,9.740094604,15.94018616,6.490005595,0,0,67.82971365,0,0,0,0,0,0,0,0,104
0,0,36.000372,0,0,58.999318,0,0,0,0,5.000310001,0,0,0,0,0,0,62.2
0,0,25,0,0,50,0,0,25,0,0,0,0,0,0,0,0,78.55
0,0,6.000060001,0,30.0003,3.99903999,0,0,60.00060001,0,0,0,0,0,0,0,0,106
0,0,34.00044512,0,21.19977402,44.79978086,0,0,0,0,0,0,0,0,0,0,0,69.5
0,0,25.32969981,0,0,44.07105137,2.599474739,0,27.99977408,0,0,0,0,0,0,0,0,83.5
0,0,10.00046499,0,29.999845,10.00046499,0,0,49.99922501,0,0,0,0,0,0,0,0,79.9
0,0,33.2998997,0,20.00068001,46.69942029,0,0,0,0,0,0,0,0,0,0,0,70
0,0,40.17013927,0,0,0,25.46025796,0,34.36960276,0,0,0,0,0,0,0,0,50.9
0,0,34.52271416,0,5.951062801,59.52622304,0,0,0,0,0,0,0,0,0,0,0,58.7
0,0,34.0992,0,0,55.9008,0,0,0,0,10,0,0,0,0,0,0,59.5
0,0,28.56959186,14.29122441,0,57.13918373,0,0,0,0,0,0,0,0,0,0,0,65.7
0,0,34.999325,0,0,65.000675,0,0,0,0,0,0,0,0,0,0,0,59.6
0,0,7.849202756,2.96011267,2.409335547,30.92651275,0.349580001,2.069815402,52.11508475,0.409939138,0.419998994,0.490417987,0,0,0,0,0,121
0,0,24.21021553,0,0,45.87006341,2.219972725,0,27.69974834,0,0,0,0,0,0,0,0,78
0,0,39.57912149,0,0,0,25.50082705,0,34.42014336,0.499908105,0,0,0,0,0,0,0,50.8
0,0,32.99887223,0,15.85013931,51.15098846,0,0,0,0,0,0,0,0,0,0,0,70
0,0,32.90003813,0,15.80090528,51.29905659,0,0,0,0,0,0,0,0,0,0,0,70
0,0,24.47450218,0,0,45.8549186,2.612941227,0,27.05763799,0,0,0,0,0,0,0,0,78.5
0,0,30.00029,9.999130006,0,60.00058,0,0,0,0,0,0,0,0,0,0,0,57.4
0,0,24.47612017,0,0,45.8572321,2.615139985,0,27.05150775,0,0,0,0,0,0,0,0,77.2
0,0,33.3001013,0,10.7993375,55.90056119,0,0,0,0,0,0,0,0,0,0,0,65.4
0,0,0,0,0,46.09976328,2.599685316,24.39933661,26.90121479,0,0,0,0,0,0,0,0,70.35
0,0,6.099479779,0,0,46.09976328,2.599685316,18.29985683,26.90121479,0,0,0,0,0,0,0,0,66.1
0,0,12.20020412,0,0,46.09910983,2.599648466,12.20020412,26.90083348,0,0,0,0,0,0,0,0,75.1
0,0,18.29985683,0,0,46.09976328,2.599685316,6.099479779,26.90121479,0,0,0,0,0,0,0,0,78.7
0,0,24.39933661,0,0,46.09976328,2.599685316,0,26.90121479,0,0,0,0,0,0,0,0,81.4
0,0,24.35328637,0,0,46.13531021,2.599611617,0,26.9117918,0,0,0,0,0,0,0,0,76.3
0,0,24.35045146,0,0,46.14098003,2.599611617,0,26.9089569,0,0,0,0,0,0,0,0,77
0,0,33.2992,0,10,56.7008,0,0,0,0,0,0,0,0,0,0,0,65
0,0,24.34267409,0,0,46.13400235,2.600955337,0,26.92236822,0,0,0,0,0,0,0,0,70.3
0,0,24.32344264,0,0,46.09383865,2.589923976,0,26.89209123,0,0.100703506,0,0,0,0,0,0,83.4
0,0,24.30011198,0,0,46.19898791,2.599685316,0,26.90121479,0,0,0,0,0,0,0,0,78.3
0,0,24.27918075,0,0,46.01028321,2.600630628,0,26.84998438,0,0.259921029,0,0,0,0,0,0,87.5
0,0,38.98897059,0,0,0,25.52941176,0,34.47058824,1.011029412,0,0,0,0,0,0,0,51.1
0,0,24.23932207,0,0.409486436,45.95063414,2.590570437,0,26.80998692,0,0,0,0,0,0,0,0,75.6
0,0,24.21223421,0,0,45.89393983,2.590304859,0,26.77407418,0,0.529446927,0,0,0,0,0,0,81.9
0,0,33.30015326,0,7.999557599,58.70028914,0,0,0,0,0,0,0,0,0,0,0,64
0,0,24.13984937,0,0.830195139,45.76058427,2.5804519,0,26.68891932,0,0,0,0,0,0,0,0,77.6
0,0,24.09018818,0,0,45.64847757,2.570477374,0,26.63065998,0,1.060196894,0,0,0,0,0,0,81.8
0,0,33.30005304,0,5.999812798,60.70013416,0,0,0,0,0,0,0,0,0,0,0,63
0,0,23.95225046,0,0,45.40511069,2.559651061,0,26.48320588,0,1.599781913,0,0,0,0,0,0,81.6
0,0,29.14003066,0,0,60.11975355,0,0,10.74021579,0,0,0,0,0,0,0,0,58.9
0,0,23.94097297,0,1.659417481,45.369852,2.559464852,0,26.47029269,0,0,0,0,0,0,0,0,85.9
0,0,32.9999526,0,7.999557599,59.0004898,0,0,0,0,0,0,0,0,0,0,0,63.8
0,0,23.82269473,0,0,45.14456113,2.539723699,0,26.34225046,0,2.150769984,0,0,0,0,0,0,82.1
0,0,0,0,32.0003552,0,0,0,59.32098035,0,0,0,0,0,0,0,8.678664457,105
0,0,32.9999686,0,7.000659403,59.999372,0,0,0,0,0,0,0,0,0,0,0,63.5
0,0,38.39321834,0,0,0,25.57279982,0,34.52245228,1.51152955,0,0,0,0,0,0,0,51.5
0,0,33.29996612,0,3.999445591,62.70058829,0,0,0,0,0,0,0,0,0,0,0,63
0,0,0,0,32.26979298,0,0,0,60.06974846,0,0,0,0,0,0,0,7.660458559,106
0,0,33.2998936,0,2.000303998,64.6998024,0,0,0,0,0,0,0,0,0,0,0,61
0,0,23.35956161,0,0,49.1105803,1.709990164,0,25.81986792,0,0,0,0,0,0,0,0,60
0,0,0,0.990616002,32.7902848,0,0,0,61.03030032,0,0,0,0,0,0,0,5.188798878,111
0,0,24.56782679,0,0,46.54548587,3.208993797,0,25.67769354,0,0,0,0,0,0,0,0,76
0,0,33.0001848,0,3.99932241,63.00049279,0,0,0,0,0,0,0,0,0,0,0,62.1
0,0,24.16046782,0,0,45.78979805,3.339496352,0,26.71023778,0,0,0,0,0,0,0,0,49
0,0,31.0995212,0,21.000342,47.9001368,0,0,0,0,0,0,0,0,0,0,0,72.5
0,0,33.3303333,0,0,66.6696667,0,0,0,0,0,0,0,0,0,0,0,55.9
0,0,33.31033345,0,0,66.68966655,0,0,0,0,0,0,0,0,0,0,0,50.2
0,0,33.300333,0,0,66.699667,0,0,0,0,0,0,0,0,0,0,0,58
0,0,23.2765945,0,0,44.11566519,2.490258694,0,25.73755603,0,4.379925585,0,0,0,0,0,0,81.2
0,0,37.80119928,0,0,0,25.6097561,0,34.56939999,2.019644631,0,0,0,0,0,0,0,51.8
0,0,32.9999544,0,2.000273594,64.99977201,0,0,0,0,0,0,0,0,0,0,0,60.7
0,0,0,8.999622499,34.000755,0,0,0,49.999245,0,0,0,0,0,0,0,7.000377501,109
0,0,33.01033495,0,0,66.98966505,0,0,0,0,0,0,0,0,0,0,0,59.1
0,0,0,0,0,52.29965252,0,21.30017237,0,0,0,0,26.40017511,0,0,0,0,64.6
0,0,0,0,0,66.99967,0,33.00033,0,0,0,0,0,0,0,0,0,54
0,0,16.99967,0,0,66.99967,0,16.00066001,0,0,0,0,0,0,0,0,0,45.1
0,0,33.00033,0,0,66.99967,0,0,0,0,0,0,0,0,0,0,0,60
0,0,32.00031601,0,7.999683994,60,0,0,0,0,0,0,0,0,0,0,0,67.05
0,0,37.19894758,0,0,0,25.64994204,0,34.61941823,2.531692149,0,0,0,0,0,0,0,52.2
0,0,0,8.389169873,27.51768757,5.628323175,0,0,58.46481938,0,0,0,0,0,0,0,0,109
0,0,22.70979855,0,6.699249017,43.05042317,2.430265824,0,25.11026344,0,0,0,0,0,0,0,0,81
0,0,0,9.400593472,31.21958457,0,0,0,51.35905045,0,0,0,0,0,3.080118694,0,4.940652819,111
0,0,30.57920161,0,7.349771057,60.84055827,0,1.230469057,0,0,0,0,0,0,0,0,0,64.4
